,d1a1,d1a2,d1a3,d2a1,d2a2,d2a3
2,0.826,0.826,0.827,0.89,0.886,0.902
3,0.803,0.674,0.674,0.922,0.784,0.792
4,0.787,0.585,0.521,0.941,0.808,0.697
5,0.808,0.538,0.418,0.956,0.811,0.634
6,0.81,0.475,0.348,0.969,0.812,0.61
7,0.803,0.452,0.292,0.98,0.82,0.581
8,0.817,0.422,0.248,0.986,0.838,0.553
9,0.826,0.399,0.208,0.989,0.83,0.54
10,0.835,0.377,0.182,0.993,0.847,0.529
11,0.836,0.347,0.154,0.995,0.861,0.51
12,0.844,0.333,0.134,0.994,0.872,0.5
13,0.856,0.324,0.116,0.997,0.873,0.48
14,0.852,0.303,0.101,0.997,0.88,0.476
15,0.86,0.278,0.08,0.998,0.882,0.466
16,0.866,0.281,0.076,0.998,0.886,0.467
17,0.87,0.267,0.065,0.999,0.894,0.454
18,0.876,0.256,0.06,0.999,0.906,0.433
19,0.886,0.242,0.046,0.999,0.905,0.451
20,0.879,0.226,0.042,0.999,0.91,0.418
21,0.887,0.222,0.037,0.999,0.909,0.422
22,0.899,0.209,0.031,0.999,0.912,0.428
23,0.893,0.206,0.031,1,0.922,0.396
24,0.9,0.2,0.025,1,0.923,0.387
25,0.906,0.186,0.021,1,0.933,0.383
26,0.901,0.184,0.02,1,0.927,0.39
27,0.909,0.171,0.018,1,0.939,0.375
28,0.913,0.163,0.017,1,0.935,0.371
29,0.913,0.155,0.012,1,0.944,0.375
30,0.925,0.165,0.009,1,0.947,0.354
31,0.93,0.152,0.011,1,0.949,0.356
32,0.926,0.139,0.008,1,0.948,0.369
33,0.931,0.137,0.007,1,0.949,0.35
34,0.926,0.126,0.005,1,0.955,0.364
35,0.935,0.135,0.007,1,0.958,0.353
36,0.936,0.123,0.006,1,0.96,0.336
37,0.946,0.123,0.006,1,0.958,0.324
38,0.944,0.113,0.005,1,0.963,0.341
39,0.942,0.118,0.004,1,0.963,0.325
40,0.947,0.111,0.005,1,0.966,0.332
41,0.946,0.102,0.003,1,0.97,0.32
42,0.952,0.102,0.004,1,0.968,0.326
43,0.949,0.09,0.003,1,0.971,0.313
44,0.952,0.093,0.003,1,0.971,0.315
45,0.954,0.089,0.002,1,0.971,0.313
46,0.96,0.088,0.002,1,0.974,0.304
47,0.958,0.083,0.002,1,0.974,0.311
48,0.959,0.082,0.001,1,0.978,0.305
49,0.964,0.081,0.001,1,0.976,0.295
50,0.955,0.074,0.002,1,0.982,0.296
51,0.962,0.077,0.001,1,0.978,0.289
52,0.967,0.072,0.001,1,0.978,0.289
53,0.969,0.076,0.001,1,0.98,0.284
54,0.97,0.073,0.001,1,0.98,0.276
55,0.967,0.069,0.001,1,0.98,0.278
56,0.968,0.064,0,1,0.984,0.278
57,0.968,0.068,0,1,0.981,0.278
58,0.971,0.06,0,1,0.985,0.274
59,0.974,0.057,0.001,1,0.983,0.268
